geoName,Pet,coronavirus
Alabama,5,95
Alaska,4,96
Arizona,4,96
Arkansas,4,96
California,4,96
Colorado,4,96
Connecticut,4,96
Delaware,4,96
District of Columbia,2,98
Florida,5,95
Georgia,4,96
Hawaii,3,97
Idaho,4,96
Illinois,4,96
Indiana,5,95
Iowa,4,96
Kansas,5,95
Kentucky,5,95
Louisiana,4,96
Maine,4,96
Maryland,3,97
Massachusetts,3,97
Michigan,4,96
Minnesota,4,96
Mississippi,4,96
Missouri,5,95
Montana,4,96
Nebraska,5,95
Nevada,4,96
New Hampshire,5,95
New Jersey,3,97
New Mexico,4,96
New York,3,97
North Carolina,5,95
North Dakota,4,96
Ohio,5,95
Oklahoma,4,96
Oregon,5,95
Pennsylvania,4,96
Rhode Island,4,96
South Carolina,5,95
South Dakota,5,95
Tennessee,5,95
Texas,4,96
Utah,3,97
Vermont,4,96
Virginia,4,96
Washington,4,96
West Virginia,4,96
Wisconsin,4,96
Wyoming,4,96
